id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m,irr
9413,0.825317025184631,34.2723846435547,2010,LSMS_UGA2009,0.926644361307285,24.9,22.0,23.5,1689,50,80,27,26,0.0
9414,2.35250091552734,32.2547607421875,2010,LSMS_UGA2009,0.18779992389161,26.8,23.8,25.2,1468,49,84,23,30,0.0
9415,2.58457088470459,30.9352512359619,2010,LSMS_UGA2009,0.162240763595888,24.9,22.3,23.3,1345,50,97,24,29,0.0
9417,0.808688998222351,34.3362693786621,2010,LSMS_UGA2009,0.292865373216286,24.4,21.6,23.0,1677,49,66,27,24,0.0
9418,2.20474600791931,33.1740913391113,2010,LSMS_UGA2009,0.201718500420634,26.4,23.5,24.9,1528,49,76,20,28,0.0
9419,2.3648579120636,32.6032752990723,2010,LSMS_UGA2009,0.890469055910905,26.7,23.9,25.2,1438,50,75,22,29,0.0
9420,-1.38021397590637,30.0106334686279,2010,LSMS_UGA2009,0.163375314390265,18.8,17.6,18.2,1511,45,115,27,32,0.0
9421,0.447066992521286,30.1652870178223,2010,LSMS_UGA2009,0.701007554653266,22.1,20.8,21.4,1409,53,119,28,31,0.0
9422,-0.964900970458984,29.9596881866455,2010,LSMS_UGA2009,1.64736768797466,20.3,19.0,19.6,1603,49,117,25,31,0.0
9423,-0.779664993286133,29.6530265808105,2010,LSMS_UGA2009,0.797113429081536,23.9,22.3,23.2,1721,47,111,25,30,0.0
9424,0.822012007236481,30.7921314239502,2010,LSMS_UGA2009,0.329473550687035,23.9,22.0,22.9,1459,51,109,24,28,0.0
9425,1.47599601745605,33.9171676635742,2010,LSMS_UGA2009,0.658947101374069,25.7,23.0,24.5,1620,48,69,20,25,0.0
9426,0.47129300236702,32.8645896911621,2010,LSMS_UGA2009,0.197684130412221,24.8,22.3,23.6,1533,47,96,21,28,0.0
