id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m
90,9.35668119389,12.1731637317,2013,LSMS_NGA2012,4.36350942518036,33.6,26.1,28.8,723,43,44,23,18
91,9.33287881009,11.7819675423,2013,LSMS_NGA2012,3.72531975661244,33.7,26.1,28.8,777,45,56,26,20
92,9.33287881009,11.7819675423,2013,LSMS_NGA2012,5.46351057872236,33.7,26.1,28.8,777,45,56,26,20
93,9.33287881009,11.7819675423,2013,LSMS_NGA2012,2.34205749751156,33.7,26.1,28.8,777,45,56,26,20
94,9.33287881009,11.7819675423,2013,LSMS_NGA2012,1.52434377000701,33.7,26.1,28.8,777,45,56,26,20
95,8.30266963237,12.0444336999,2013,LSMS_NGA2012,0.453288608857259,30.5,24.5,26.5,1045,45,44,26,18
96,8.30266963237,12.0444336999,2013,LSMS_NGA2012,4.89875898105813,30.5,24.5,26.5,1045,45,44,26,18
97,8.30266963237,12.0444336999,2013,LSMS_NGA2012,2.97840655249442,30.5,24.5,26.5,1045,45,44,26,18
98,8.30266963237,12.0444336999,2013,LSMS_NGA2012,1.99362041467305,30.5,24.5,26.5,1045,45,44,26,18
99,8.30266963237,12.0444336999,2013,LSMS_NGA2012,1.99713743634124,30.5,24.5,26.5,1045,45,44,26,18
100,8.95937097796,12.1543140636,2013,LSMS_NGA2012,0.135903138127008,32.7,25.7,28.1,857,44,48,24,18
101,8.95937097796,12.1543140636,2013,LSMS_NGA2012,2.17746325530757,32.7,25.7,28.1,857,44,48,24,18
102,8.95937097796,12.1543140636,2013,LSMS_NGA2012,2.25109338821713,32.7,25.7,28.1,857,44,48,24,18
103,8.95937097796,12.1543140636,2013,LSMS_NGA2012,0.881652805125342,32.7,25.7,28.1,857,44,48,24,18
104,8.95937097796,12.1543140636,2013,LSMS_NGA2012,0.99601593625498,32.7,25.7,28.1,857,44,48,24,18
105,8.95937097796,12.1543140636,2013,LSMS_NGA2012,4.00882260554576,32.7,25.7,28.1,857,44,48,24,18
106,8.95937097796,12.1543140636,2013,LSMS_NGA2012,8,32.7,25.7,28.1,857,44,48,24,18
107,8.95937097796,12.1543140636,2013,LSMS_NGA2012,0.993788819875776,32.7,25.7,28.1,857,44,48,24,18
108,10.7021170344,13.4417466208,2013,LSMS_NGA2012,2.44967950026538,32.3,23.2,27.8,727,43,40,24,17
109,10.7021170344,13.4417466208,2013,LSMS_NGA2012,3.42239156722718,32.3,23.2,27.8,727,43,40,24,17
110,10.7021170344,13.4417466208,2013,LSMS_NGA2012,0.486144871171609,32.3,23.2,27.8,727,43,40,24,17
111,10.7021170344,13.4417466208,2013,LSMS_NGA2012,0.744047619047619,32.3,23.2,27.8,727,43,40,24,17
112,10.2710717474,13.3077304864,2013,LSMS_NGA2012,3.24464633354964,31.4,23,27,721,43,42,25,17
113,10.2710717474,13.3077304864,2013,LSMS_NGA2012,1.77967609894999,31.4,23,27,721,43,42,25,17
114,10.2710717474,13.3077304864,2013,LSMS_NGA2012,3.42348510783978,31.4,23,27,721,43,42,25,17
115,10.2686739218,13.2386102614,2013,LSMS_NGA2012,1.41793690180787,31.8,23.4,27.3,723,44,46,23,19
116,10.2686739218,13.2386102614,2013,LSMS_NGA2012,0.58841527996799,31.8,23.4,27.3,723,44,46,23,19
117,10.2686739218,13.2386102614,2013,LSMS_NGA2012,1.62284972411555,31.8,23.4,27.3,723,44,46,23,19
118,10.2686739218,13.2386102614,2013,LSMS_NGA2012,0.445732114998886,31.8,23.4,27.3,723,44,46,23,19
119,10.2832908043,12.8870466619,2013,LSMS_NGA2012,2.95845021037868,32,23.5,27.4,720,45,49,25,19
120,10.2832908043,12.8870466619,2013,LSMS_NGA2012,3.45781466113416,32,23.5,27.4,720,45,49,25,19
121,10.2832908043,12.8870466619,2013,LSMS_NGA2012,0.71120383101797,32,23.5,27.4,720,45,49,25,19
122,10.2832908043,12.8870466619,2013,LSMS_NGA2012,0.304404736537701,32,23.5,27.4,720,45,49,25,19
123,10.2832908043,12.8870466619,2013,LSMS_NGA2012,0.236983671825011,32,23.5,27.4,720,45,49,25,19
